roll,pitch,yaw
-0.00539358,-0.00297908,0.175898
-0.0109317,-0.00492015,0.35181
-0.0168534,-0.00594969,0.528082
-0.0226341,-0.00613825,0.704357
-0.0285386,-0.0057746,0.880705
-0.0342011,-0.00401541,1.05704
-0.0395969,-0.00136832,1.23315
-0.0443931,0.00179017,1.40925
-0.0482179,0.00559904,1.58527
-0.0511943,0.0102153,1.76128
-0.0535228,0.0151475,1.93707
-0.0550921,0.0203364,2.11286
-0.0556105,0.0257726,2.28866
-0.0555053,0.0314932,2.46499
-0.0542059,0.037171,2.64137
-0.0521488,0.0418894,2.81739
-0.0492785,0.0459755,2.99345
-0.0457901,0.0495549,-3.11348
-0.0420402,0.052289,-2.93719
-0.0376886,0.0541417,-2.76087
-0.0332473,0.0554663,-2.58453
-0.0284743,0.0570748,-2.40863
-0.0231904,0.057693,-2.23269
-0.0178337,0.0579386,-2.05675
-0.0124772,0.0569324,-1.88082
-0.00746663,0.0554381,-1.70447
-0.00283449,0.053084,-1.52815
0.00146124,0.0494777,-1.35184
0.00504328,0.0453509,-1.17559
0.00767871,0.0411831,-0.999725
0.00947976,0.0365376,-0.823904
0.0107008,0.0307762,-0.647673
0.0108292,0.0248387,-0.47148
0.00978829,0.0196207,-0.295434
0.00779287,0.0146878,-0.1194
0.00510855,0.010205,0.0564441
0.00136275,0.00611747,0.232292
-0.00285641,0.00247474,0.408056
-0.00745773,-0.000453497,0.583834
-0.0122162,-0.00213725,0.759844
-0.0175928,-0.00296043,0.93586
-0.0234479,-0.00317507,1.11185
-0.0289437,-0.00254558,1.28785
-0.0345257,-0.000698145,1.46383
-0.0393345,0.00205895,1.6398
-0.0434861,0.00531656,1.81568
-0.0466989,0.00938716,1.99154
-0.0493079,0.0134892,2.16749
-0.0512822,0.0176245,2.34343
-0.0523231,0.0224528,2.5195
-0.0526532,0.0273317,2.69558
-0.0523054,0.0327595,2.87167
-0.0512825,0.0379074,3.0478
-0.0492392,0.0429379,-3.05922
-0.0454401,0.0474684,-2.88247
-0.0408693,0.0512934,-2.70567
-0.0363035,0.0543104,-2.52911
-0.0311274,0.0565942,-2.3525
-0.0256054,0.0573023,-2.17631
-0.0202966,0.0573221,-2.00013
-0.0149793,0.0561202,-1.82394
-0.00998828,0.0543541,-1.64779
-0.00569565,0.0518338,-1.47157
-0.00203602,0.0488888,-1.29539
0.00167912,0.0452055,-1.11898
0.00490389,0.0410963,-0.942617
0.00673674,0.036754,-0.766687
0.00769337,0.0320653,-0.590795
0.00812739,0.0272433,-0.414612
0.00775955,0.0224281,-0.238451
0.00653907,0.0178817,-0.0623667
0.00435542,0.0135515,0.113708
0.00146508,0.0093943,0.289914
-0.00183809,0.00595103,0.466128
-0.00588228,0.00301622,0.641903
-0.01016,0.00114269,0.817686
-0.0149347,-0.000557902,0.9938
-0.0200482,-0.00161826,1.16992
-0.0252053,-0.00206062,1.34561
-0.0302977,-0.00145034,1.5213
-0.0348341,0.000252929,1.697
-0.0393515,0.0029073,1.87269
-0.0431349,0.00594701,2.04883
-0.0463271,0.00956191,2.22496
-0.0491805,0.0135639,2.40109
-0.0510314,0.0183046,2.57721
-0.0521749,0.0229689,2.75274
-0.0522924,0.0279243,2.92829
-0.0518415,0.0325439,3.10394
-0.050897,0.0370666,-3.00358
-0.0490301,0.0419226,-2.82737
-0.0462299,0.0461511,-2.65112
-0.0426992,0.0499163,-2.47487
-0.0382234,0.0530054,-2.29857
-0.0336292,0.0548326,-2.12235
-0.0285361,0.0564643,-1.94589
-0.0232517,0.0571798,-1.76942
-0.0177455,0.0569039,-1.59313
-0.0125101,0.0555497,-1.41686
-0.00819977,0.0529298,-1.24033
-0.00404253,0.0496475,-1.06383
-0.000913876,0.0457828,-0.887393
0.00163768,0.0415647,-0.710992
0.00364544,0.036745,-0.534623
0.00441385,0.0315596,-0.358308
0.00523164,0.026853,-0.18217
0.00522064,0.022083,-0.00605728
0.00396622,0.0170538,0.169784
0.00190404,0.0125099,0.345618
-0.00113261,0.00906124,0.521704
-0.00474217,0.00580016,0.697797
-0.00870947,0.00375779,0.873547
-0.0133374,0.00254673,1.0493
-0.0174136,0.00178552,1.22541
-0.0218752,0.00165216,1.40153
-0.0263653,0.00239873,1.57786
-0.0306144,0.00424806,1.75418
-0.0340505,0.00591902,1.93046
-0.0370839,0.00824007,2.10673
-0.0393612,0.0108662,2.2825
-0.0411967,0.0140648,2.45826
-0.043174,0.0175347,2.63446
-0.0442156,0.0215631,2.81067
-0.0448282,0.0252764,2.98679
-0.0444364,0.0292333,-3.12024
-0.043221,0.0330864,-2.94394
-0.0415504,0.0364189,-2.76762
-0.0392617,0.0398068,-2.59126
-0.0365742,0.0427621,-2.41489
-0.0334214,0.0452878,-2.23828
-0.0294984,0.0473212,-2.06163
-0.0263461,0.0481436,-1.88471
-0.022767,0.0484974,-1.70777
-0.0193054,0.0486144,-1.53119
-0.0156764,0.0477871,-1.35461
-0.0118691,0.0464242,-1.17826
-0.00888454,0.0450108,-1.00167
-0.00590304,0.0431686,-0.825073
-0.00381614,0.0406817,-0.648799
-0.00193989,0.0375645,-0.472538
-0.00073867,0.0336399,-0.296147
-0.00019782,0.0296313,-0.119782
-0.000386364,0.0257832,0.0565593
-0.00134222,0.0221022,0.232882
-0.00280802,0.0185174,0.409199
-0.00511324,0.0149926,0.585506
-0.00772886,0.0127147,0.761587
-0.0104136,0.0107238,0.937673
-0.0134468,0.00892918,1.11338
-0.0165118,0.00800116,1.28909
-0.0195258,0.00763118,1.46537
-0.0227255,0.0078044,1.64165
-0.0256658,0.00780602,1.81829
-0.0284812,0.00835919,1.99493
-0.0314745,0.0100124,2.17105
-0.0342775,0.0118708,2.34716
-0.0367582,0.01442,2.52327
-0.0384027,0.0172054,2.69939
-0.039578,0.0204634,2.87544
-0.0400796,0.0239558,3.0515
-0.0395139,0.0280149,-3.05533
-0.0382743,0.0319805,-2.87896
-0.0368882,0.0351708,-2.70274
-0.0347506,0.037924,-2.52649
