Ax,Ay,Az,Gx,Gy,Gz,Flow_X,Flow_Y,LiDar
-29.11,-22.89,1009.09,1.1,-3.42,5.74,0,0,10
-28.38,-20.32,1010.38,-1.83,-3.54,3.54,0,0,11
-28.38,-20.32,1010.38,-1.95,1.34,-7.93,0,0,10
-27.28,-19.96,1012.39,0,-2.56,-2.32,0,0,10
-27.28,-19.96,1012.39,5.74,1.59,-8.06,0,0,11
-28.02,-22.71,1012.76,3.05,0.61,-0.12,0,0,10
-28.02,-22.71,1012.76,-0.85,0.24,8.18,0,0,10
-27.83,-23.25,1011.47,-0.85,-0.24,-1.22,0,0,10
-27.83,-23.25,1011.47,2.56,0.37,-1.59,0,0,10
-26.18,-23.99,1011.11,2.81,1.34,2.93,0,0,9
-26.18,-23.99,1011.11,-0.73,5,-2.08,0,0,10
-27.1,-23.99,1009.83,2.08,3.05,2.44,0,0,10
-27.1,-23.99,1009.83,0.98,0,3.3,0,0,10
-27.1,-23.99,1009.83,2.2,2.32,3.54,0,0,10
-27.47,-24.17,1012.76,-0.37,-0.49,-0.98,0,0,10
-27.47,-24.17,1012.76,-3.42,0.61,-3.3,0,0,11
-27.1,-27.1,1010.38,-2.44,-6.59,1.34,0,0,10
-27.1,-27.1,1010.38,1.34,-1.46,-1.22,0,0,10
-28.93,-28.56,1011.11,-3.66,1.71,5.37,0,0,10
-28.93,-28.56,1011.11,0.49,-1.59,-3.91,0,0,10
-28.93,-28.56,1011.11,5.13,0,-1.34,0,0,10
-28.93,-28.56,1011.11,-1.83,-6.96,1.83,0,0,10
-28.38,-21.61,1008.73,0,-1.22,5.25,0,0,10
-28.38,-21.61,1008.73,2.2,1.71,2.81,0,0,10
-28.2,-20.32,1008.73,-2.32,1.1,0.12,0,0,10
-28.2,-20.32,1008.73,1.34,1.34,-5,0,0,10
-28.02,-19.78,1011.29,-6.84,-0.98,5,0,0,10
-28.02,-19.78,1011.29,-2.2,-0.85,-8.3,0,0,11
-26.37,-20.69,1011.47,5,-6.35,-8.18,0,0,10
-26.37,-20.69,1011.47,-0.98,-2.69,3.17,0,0,10
-27.83,-18.31,1009.46,-1.95,-1.83,-1.59,0,0,10
-27.83,-18.31,1009.46,-1.22,-3.42,2.56,0,0,10
-28.02,-22.16,1012.02,2.32,2.93,-8.06,0,0,10
-28.02,-22.16,1012.02,3.91,2.32,-5.49,0,0,10
-28.93,-20.51,1011.29,-1.83,0.85,12.08,0,0,10
-28.93,-20.51,1011.29,-5.86,0.73,-6.96,0,0,10
-28.56,-20.14,1010.19,-3.91,2.44,4.76,0,0,10
-28.56,-20.14,1010.19,0,-4.15,4.15,0,0,10
-27.65,-20.87,1009.64,3.66,-4.15,-4.39,0,0,10
-27.65,-20.87,1009.64,2.08,0.49,2.69,0,0,10
-27.1,-19.59,1010.93,0,3.05,-13.79,0,0,10
-27.1,-19.59,1010.93,1.1,-6.35,0,0,0,10
-29.3,-21.97,1010.74,0,-3.3,-3.78,0,0,10
-29.3,-21.97,1010.74,0.98,0.85,-3.42,0,0,10
-29.3,-21.97,1010.74,-2.32,-5,-3.17,0,0,11
-29.3,-21.97,1010.74,-1.95,4.76,0.24,0,0,10
-26.37,-23.25,1010.19,-0.24,-3.66,-1.46,0,0,9
-26.37,-23.25,1010.19,-0.24,0.24,-2.44,0,0,10
-27.1,-26,1010.56,-2.2,1.71,-7.32,0,0,10
-27.1,-26,1010.56,2.81,0,3.3,0,0,10
-27.1,-23.99,1011.29,5.74,6.59,4.64,0,0,10
-27.1,-23.99,1011.29,2.81,0.12,-0.73,0,0,10
-28.75,-23.07,1011.29,-1.83,0.49,1.71,0,0,10
-28.75,-23.07,1011.29,-0.37,-2.93,-4.03,0,0,9
-28.75,-23.07,1011.29,-5.86,-2.32,-3.17,0,0,10
-24.9,-21.24,1014.4,1.83,1.71,2.81,0,0,9
-24.9,-21.24,1014.4,3.17,4.76,-2.2,0,0,10
-27.65,-20.69,1012.76,3.54,0.98,-2.93,0,0,10
-27.65,-20.69,1012.76,0.85,2.44,0.12,0,0,10
-26.55,-23.62,1010.19,3.54,2.08,-4.15,0,0,10
-26.55,-23.62,1010.19,-4.27,-8.42,-6.84,0,0,10
-26.55,-23.62,1010.19,5.37,-1.95,4.52,0,0,10
-26.55,-23.62,1010.19,-2.56,-2.08,-0.24,0,0,10
-28.93,-21.24,1010.74,3.78,-0.73,3.66,0,0,10
-28.93,-21.24,1010.74,-0.73,-1.83,-1.46,0,0,10
-26.37,-20.14,1012.21,3.78,0,-1.22,0,0,9
-26.37,-20.14,1012.21,0.12,2.44,0.73,0,0,10
-28.2,-19.96,1010.01,-4.03,-2.56,2.44,0,0,10
-28.2,-19.96,1010.01,-1.46,-4.15,-0.24,0,0,10
-27.1,-20.69,1011.84,-3.66,-1.46,-0.61,0,0,10
-27.1,-20.69,1011.84,-0.37,-0.12,-6.59,0,0,10
-27.47,-19.96,1011.47,-6.1,0.49,0,0,0,10
-27.47,-19.96,1011.47,-1.95,-2.81,-1.1,0,0,10
-27.83,-19.78,1012.21,4.27,-1.34,3.66,0,0,10
-27.83,-19.78,1012.21,0.37,2.93,-1.71,0,0,10
-27.47,-19.59,1009.64,7.69,-1.59,7.69,0,0,9
-27.47,-19.59,1009.64,-3.78,4.39,-9.52,0,0,10
-27.1,-23.44,1011.47,-8.42,-4.64,-0.24,0,0,10
-27.1,-23.44,1011.47,2.2,-7.32,0.73,0,0,10
-26.55,-25.27,1008.91,0.24,-2.81,-1.22,0,0,10
-26.55,-25.27,1008.91,-2.44,-2.44,-10.99,0,0,10
-26.37,-22.52,1009.09,2.32,3.78,2.81,0,0,10
-26.37,-22.52,1009.09,-0.85,-3.42,5.62,0,0,10
-27.28,-24.54,1011.66,-0.61,2.93,2.69,0,0,10
-27.28,-24.54,1011.66,0,1.71,2.81,0,0,10
-27.28,-24.54,1011.66,2.44,-1.95,-4.64,0,0,10
-27.28,-24.54,1011.66,-4.03,2.32,-1.59,0,0,10
-27.47,-24.17,1008.18,0.98,0,1.95,0,0,10
-27.47,-24.17,1008.18,0.12,2.08,4.39,0,0,10
-28.75,-25.27,1008.54,3.42,3.42,9.4,0,0,10
-28.75,-25.27,1008.54,4.76,-6.84,-3.3,0,0,10
-29.66,-23.8,1011.47,-3.66,1.22,1.71,0,0,10
-29.66,-23.8,1011.47,0.85,4.27,-7.08,0,0,10
-27.47,-22.71,1011.29,1.22,-1.46,-1.46,0,0,10
-27.47,-22.71,1011.29,1.71,3.42,0.98,0,0,10
-28.02,-24.72,1010.56,3.78,-0.85,2.93,0,0,11
-27.28,-23.25,1011.84,-2.08,0.37,-5.86,0,0,11
-27.28,-23.25,1011.84,-7.45,0,-3.3,0,0,10
-27.28,-21.97,1010.74,0,0.12,0.73,0,0,10
-27.28,-21.97,1010.74,5.62,1.95,8.54,-1,0,9
-29.3,-24.9,1012.39,0.49,-0.73,-0.73,0,0,11
-29.3,-24.9,1012.39,0.49,2.93,-4.27,0,0,10
-29.3,-24.9,1012.39,-2.32,-10.13,1.46,0,0,11
-29.3,-24.9,1012.39,-1.59,-0.49,-1.83,0,0,10
-29.3,-24.9,1012.39,-0.12,1.22,3.91,1,0,10
-29.3,-24.9,1012.39,3.3,-3.91,-1.71,0,0,10
-25.63,-21.24,1011.47,1.1,1.1,3.17,0,0,10
-25.63,-21.24,1011.47,3.66,3.54,-5.37,0,0,9
-27.83,-23.44,1010.01,2.56,2.81,-7.69,0,0,10
-27.83,-23.44,1010.01,-0.85,2.69,-4.27,0,0,11
-28.2,-20.51,1011.47,-3.78,-0.37,-3.54,0,0,10
-28.2,-20.51,1011.47,3.78,0,6.71,0,0,10
-28.56,-17.94,1009.46,2.81,5.13,2.69,0,0,11
-28.56,-17.94,1009.46,0.37,-3.42,2.69,0,0,10
-26.18,-20.87,1011.47,-8.79,5.86,-1.83,0,0,10
-26.18,-20.87,1011.47,-0.98,-4.64,-7.81,0,0,11
-27.1,-19.23,1012.76,1.95,-1.46,1.22,0,0,10
-27.1,-19.23,1012.76,-9.64,-5.86,-9.28,0,0,10
-25.63,-22.34,1012.39,2.93,2.69,5,0,0,10
-25.63,-22.34,1012.39,0.85,2.32,7.45,0,0,10
-23.8,-23.25,1009.46,0.49,1.83,1.1,0,0,10
-23.8,-23.25,1009.46,-2.2,1.71,-0.37,0,0,10
-26.55,-21.97,1012.02,0.85,-0.49,-5.25,0,0,9
-26.55,-21.97,1012.02,-3.78,3.42,3.91,0,0,10
-26.18,-23.25,1011.47,0.73,-0.73,-8.3,0,0,10
-26.18,-23.25,1011.47,-3.66,4.15,-1.34,0,0,10
-24.54,-23.44,1012.21,-7.2,-0.12,-4.27,0,0,10
-24.54,-23.44,1012.21,1.46,-3.54,-4.76,0,0,10
-26,-22.52,1012.21,-0.49,0.37,-2.08,0,0,10
-26,-22.52,1012.21,-3.78,-1.46,-1.1,0,0,10
-25.45,-20.87,1013.49,0.73,-6.59,0.85,0,0,11
-25.45,-20.87,1013.49,-1.34,1.71,3.17,0,0,9
-29.3,-23.8,1014.95,-1.1,-4.64,9.52,0,0,10
-29.3,-23.8,1014.95,-2.69,2.2,-1.1,0,0,10
-28.56,-21.42,1012.94,-0.98,-1.22,-5.62,0,0,10
-28.56,-21.42,1012.94,4.76,2.2,2.81,0,0,10
-26.73,-22.52,1011.66,-2.44,2.56,1.34,0,0,10
-28.2,-19.04,1013.31,-1.95,-5.25,-3.78,0,0,10
-28.2,-19.04,1013.31,-2.69,1.71,-4.64,0,0,10
-29.66,-19.96,1011.66,-4.76,-5,-1.71,0,0,10
-29.66,-19.96,1011.66,3.17,3.42,7.32,0,0,10
-30.03,-23.07,1012.57,5.25,5.98,5.98,0,0,10
-30.03,-23.07,1012.57,1.71,5.37,3.91,0,0,11
-30.03,-23.07,1012.57,-4.52,5.62,-2.81,0,0,10
-30.03,-23.07,1012.57,-2.2,0.61,-0.49,0,0,10
-30.03,-23.07,1012.57,-1.83,4.03,8.91,0,0,9
-30.03,-23.07,1012.57,1.95,-0.24,-2.2,0,0,10
-28.38,-20.51,1011.29,-4.15,-2.69,-6.1,0,0,10
-28.38,-20.51,1011.29,0,1.34,6.84,0,0,11
-26.92,-21.24,1009.09,0.61,-0.24,1.95,0,0,10
-26.92,-21.24,1009.09,-2.32,2.32,1.22,0,0,10
-25.63,-21.42,1012.39,-3.91,1.71,-2.93,0,0,10
-25.63,-21.42,1012.39,-4.03,-1.95,-5.98,0,0,10
-25.09,-23.44,1014.4,2.56,0.85,-4.76,0,0,10
-25.09,-23.44,1014.4,6.71,5.98,-3.3,0,0,10
-26.18,-21.97,1011.47,-5.98,-1.1,-11.84,0,0,10
-26.18,-21.97,1011.47,3.3,-4.64,-5.49,0,0,10
-26.37,-21.42,1011.47,-0.49,-5.86,0.24,0,0,10
-26.37,-21.42,1011.47,1.71,2.44,6.84,0,0,10
-26.37,-19.78,1011.11,1.1,0.61,1.83,0,0,10
-26.37,-19.78,1011.11,1.59,3.42,9.64,0,0,10
-24.17,-17.4,1012.76,-1.34,4.03,1.46,0,0,9
-24.17,-17.4,1012.76,-6.96,8.54,-0.85,0,0,10
-25.82,-20.87,1011.66,-2.93,-0.73,4.88,0,0,11
-25.82,-20.87,1011.66,-1.95,4.52,5.37,0,0,10
-28.2,-20.51,1010.56,-3.91,2.44,0.12,0,0,10
-28.2,-20.51,1010.56,2.93,3.42,3.91,0,0,10
