Az,Gx,Gy,Gz,Temp,FlowX,FlowY,LiDAR,Flux,LiDAR Temp,Ax,Ay
1012.02562,1.59,-0.85,6.71,8211.0,0.0,0.0,10.0,5620.0,35.0,-27.28,-23.44
1012.57,2.56,-1.83,-0.37,8211.0,0.0,0.0,11.0,5608.0,35.0,-30.03,-23.44
1010.38,0.85,-5.98,-12.94,8211.0,0.0,0.0,11.0,5608.0,35.0,-32.78,-24.17
1010.93,-1.34,-2.2,-3.54,8211.0,0.0,0.0,11.0,5604.0,35.0,-31.68,-22.16
1010.74,2.32,0.98,8.06,8211.0,0.0,0.0,10.0,5601.0,35.0,-38.27,-30.03
1011.47,-2.08,2.2,-10.74,8211.0,0.0,0.0,11.0,5604.0,35.0,-25.09,-25.27
1012.76,-1.95,1.46,7.2,8211.0,0.0,0.0,11.0,5605.0,35.0,-27.83,-23.07
1011.29,-0.85,-4.15,0.12,8211.0,0.0,0.0,11.0,5603.0,35.0,-29.48,-23.99
1010.56,5.13,-1.71,-4.64,8211.0,0.0,0.0,11.0,5605.0,35.0,-29.11,-24.9
1011.66,-1.83,1.59,2.81,8211.0,0.0,0.0,11.0,5608.0,35.0,-33.14,-21.42
1013.85,-5.86,-10.01,-2.69,8211.0,0.0,0.0,10.0,5606.0,35.0,-33.87,-22.71
1012.57,4.76,-5.86,-2.08,8211.0,0.0,0.0,11.0,5599.0,35.0,-32.78,-25.09
1012.39,3.78,-6.71,4.64,8211.0,0.0,0.0,11.0,5601.0,35.0,-30.03,-27.47
1011.84,-0.98,3.42,-2.2,8211.0,0.0,0.0,11.0,5605.0,35.0,-33.33,-21.06
1011.11,-3.78,4.88,4.52,8211.0,0.0,0.0,10.0,5604.0,35.0,-25.45,-23.62
1011.29,3.91,-0.61,-2.08,8211.0,0.0,0.0,11.0,5604.0,35.0,-28.38,-23.99
1012.39,-4.64,0.49,-4.39,8211.0,0.0,0.0,11.0,5601.0,35.0,-31.31,-21.06
1012.57,-1.1,-3.78,-1.46,8211.0,0.0,0.0,11.0,5602.0,35.0,-30.03,-24.17
1010.93,0.61,-7.93,-1.95,8211.0,0.0,0.0,11.0,5604.0,35.0,-33.14,-23.44
1010.19,0.85,3.66,3.91,8211.0,0.0,0.0,11.0,5602.0,35.0,-33.33,-22.16
1012.02,0.37,-1.83,5.62,8211.0,0.0,0.0,11.0,5601.0,35.0,-34.06,-26.0
1011.66,1.95,-1.59,-4.15,8211.0,0.0,0.0,11.0,5599.0,35.0,-28.38,-19.96
1010.93,-1.1,-8.67,2.2,8211.0,0.0,0.0,11.0,5603.0,35.0,-26.55,-18.86
1012.21,-0.49,8.18,5.98,8211.0,0.0,0.0,11.0,5603.0,35.0,-31.13,-23.99
1011.66,2.69,3.3,6.1,8211.0,0.0,0.0,11.0,5605.0,35.0,-34.24,-27.83
1011.29,-2.44,-0.37,4.52,8211.0,0.0,0.0,11.0,5604.0,35.0,-15.75,-21.24
1008.91,2.81,-2.08,-3.66,8211.0,0.0,0.0,11.0,5603.0,35.0,-26.0,-14.83
1013.12,-1.71,1.46,3.17,8211.0,0.0,0.0,11.0,5600.0,35.0,-26.55,-22.16
1012.39,-2.44,-5.86,-5.62,8211.0,0.0,0.0,11.0,5606.0,35.0,-28.93,-19.41
1011.84,-3.91,-3.54,2.2,8211.0,0.0,0.0,11.0,5602.0,35.0,-34.79,-19.59
